po'olska	lojbo	glico
		English version
Terrorysta, on patrzy.	sorxaizu'e sei catlu	A terrorist, he is watching
Szymborska Wisława	la visuuavas cimborskas	Szymborska Wisława
	i la uakci cu fanva i la gleki cu cnegau	Translated by la gleki
Bomba wybuchnie w barze trzynasta dwadzieścia.	i le jbama cu porpi ne'i le barja ti'u li pa ci pi'e re no	The bomb goes off in the bar thirteen twenty.
Teraz mamy dopiero trzynastą szesnaście.	i nau'u se tcika li po'o pa ci pi'e pa xa	Now it's only thirteen-sixteen.
Niektórzy zdążą jeszcze wejść.	i so'o da snada lo ka barkla	Some will still manage to get in.
Niektórzy wyjść.	a lo ka nerkla	Some to leave.
		
Terrorysta już przeszedł na drugą stronę ulicy.	i le sorxaizu'e ba'o ragvybi'o le klaji	The terrorist has already crossed to the other side of the street.
Ta odległość go chroni od wszelkiego złego	i darno raunzu fi lo ka snura	This distance protects him from all evil
no i widok jak w kinie:	i je ja'a zgana tai lo skina	Well, and a view like in a movie theater:
		
Kobieta w żółtej kurtce, ona wchodzi.	i le ninmu ku voi dasni le pelxu zo'u nerkla	A woman in a yellow jacket, she enters.
Mężczyzna w ciemnych okularach, on wychodzi.	i le nanmu ku voi xekri se lenjo zo'u barkla	A man in dark glasses, he leaves.
Chłopaki w dżinsach, oni rozmawiają.	i le za'u nanla ku voi blanu palku dasni zo'u tavla	Guys in jeans, they talk.
Trzynasta siedemnaście i cztery sekundy.	i pa ci pi'e pa ze pi'e vo	Thirteen seventeen and four seconds.
Ten niższy to ma szczęście i wsiada na skuter,	i le jai mau cmalu cu se zanfu'a lo ka cpana le marce	The shorter one is the lucky one and gets on the scooter,
a ten wyższy to wchodzi.	i le jai mau barda cu nerkla	And the taller one walks in.
		
Trzynasta siedemnaście i czterdzieści sekund.	i pa ci pi'e pa ze pi'e vo no	Thirteen seventeen and forty seconds.
Dziewczyna, ona idzie z zieloną wstążką we włosach.	i le nixli ku voi se jadni le crino djine zo'u cadzu	The girl, she walks with a green ribbon in her hair.
Tylko że ten autobus nagle ją zasłania.	i ku'i le sorprekarce ze'i jai ri'a zilmipri	Only that the bus suddenly blinds her.
		
Trzynasta osiemnaście.	i pa ci pi'e pa bi	Thirteen hundred and eighteen.
Już nie ma dziewczyny.	i le nixli xa'o canci	The girl is no longer there.
Czy była taka głupia i weszła, czy nie,	i le du'u xu kau bebna lo ka nerkla	Whether she was so stupid and went in or not,
to sie zobaczy, jak będą wynosić.	cu ba se facki ca le nu bevri fi le bartu	we'll see when they take her out.
		
Trzynasta dziewiętnaście.	i pa ci pi'e pa so	Thirteen-nineteen.
Nikt jakoś nie wchodzi.	i ki'u su'o da no de nerkla	Somehow no one enters.
Za to jeszcze wychodzi jeden gruby łysy.	i ku'i pa sedykrecau cu barkla	For this, one fat bald man still comes out.
Ale tak, jakby szukał czegoś po kieszeniach i	i ku'i simlu lo ka sisku fi tu'a le daski	But as if he was looking for something in his pockets and
o trzynastej dwadzieścia bez dziesięciu sekund	kei ja'e le nu ti'u li pa ci pi'e re no vu'u pi'e pi'e dau	at thirteen twenty without ten seconds
wraca po te swoje marne rękawiczki.	cu klama le jai purci te zu'e tu'a le nalvai gluta pe le nei	he comes back for his flimsy gloves.
		
Jest trzynasta dwadzieścia.	i pa ci pi'e re no je'u	It's thirteen twenty.
Czas, jak on się wlecze.	i le se tcika zo'u masno	Time, as he drags on.
Już chyba teraz.	i ju'o cu'i ca	I think it's already now.
Jeszcze nie teraz.	i ca pu'o	Not even now.
Tak, teraz.	i ca ja'a	Yes, now.
Bomba, ona wybucha.	i le jbama zo'u porpi	A bomb, it explodes.
