lojbo	lojbo gi'e nu'o bredi	glico
ni'o ni'o ni'o bau le lojbo	ni'o ni'o ni'o bau le lojbo	English version
ni'o ni'o lo selfri be la .alis. bei bu'u la selmacygu'e	ni'o ni'o la .alis. cu zvati la se manci tumla	Alice in Wonderland
.i finti fa la'o me. Lewis Carroll .me	.i finti di'e fa la .lu,is.karol.	Lewis Carroll
fanva fa la .xorxes.	ca'o se fanva la gleki	English original
ni'o ni'o no mo'o	.i le nomoi ckupau	Chapter 0
nu nergi'a	.i le lidne pagbu	Preface
.i ze'a lo slolecydo'i	.i ca le banli donri mi	All in the golden afternoon
mi'a surla sakli	joi lei ci do ca sakli	Full leisurely we glide;
.i terbloga'a catke fa lo	.i ca le nu le bloti do	For both our oars, with little skill,
birka be lo cmaxli	se sazri vau sei lakne	By little arms are plied,
fau lo nu tolcre troci lo nu	do troci lo ka gidva ri	While little hands make vain pretence
gidva co za'akli	.i je do .uu na kakne	Our wanderings to guide.
.i .oi lo kusru ci mei ni'a	.i .oi do kusru ca le nu	Ah, cruel Three! In such an hour,
lo tai senva tcima	mi djica le nu snime	Beneath such dreamy weather,
cu ruble pikci fi lo lisri	.i fa mi ze'a sipna .au	To beg a tale of breath too weak
.i uu sai ta'i ma	ca le nu glare tcima	To stir the tiniest feather!
pa voksa ka'e damba lo ci	.i cpedu fe lo lisri .ii	Yet what can one poor voice avail
mei tancyselcmima	fa do noi .oi sai ci mei	Against three tongues together?
.i la pa moi fa'a mi'esku	.i fa le pa moi verba fe	Imperious Prima flashes forth
«lu ko cfagau li'u»	mi minde fi lo cabna	Her edict to "begin it":
.i la re moi cu racmau djicpe	.i fi le re moi verba fa	In gentler tones Secunda hopes
lo nonselsmuji'u	no smuni ja'a zabna	There will be nonsense in it!
.i la ci moi cu lisri zunti	.i fa le ci moi verba mi	While Tertia interrupts the tale
ca me'i ro snidu	cu raktu co .oi cafne	Not more than once a minute.
.i ba zi ca'o xanri jersi	.i no da pu'i jinga .ue	Anon, to sudden silence won,
ca lo suksa smaji	.i .uo tai lo nu ctino	In fancy they pursue
lo senva verba pa'o lo se	cu stapa fa pa nixli fe	The dream-child moving through a land
manci jo'u spaji	pa tumla be lo cnino	Of wonders wild and new,
pe lo nu tavla danlu .i ia	.i tavla fe lo danlu .ue	In friendly chat with bird or beast—
ru'e jetnu ckaji	.i cfika sei .ia krinu	And half believe it true.
.i xarjintysudbi'o uo .i	.i mi ca tatpi .i je mi	And ever, as the story drained
bavlamke'u di'a	le lisri co'u platu	The wells of fancy dry,
.i tatpi bletoi lo nu mi lo	.i mi ba finti nu'e do	And faintly strove that weary one
lisri cu zasli'a	ca su'o temci drata	To put the subject by,
ze'a .i «lu ui bavlamke'u	.i do lu drata co'a ti	The rest next time— "It is next time!"
nau li'u» selki'a	cu cusku co .oi cladu	The happy voices cry.
.i tai pu banro fa lo lisri	.i tai ku co'a mulno fa	Thus grew the tale of Wonderland:
la selmacygu'e	le lisri be le manci	Thus slowly, one by one,
.i ba lo terpra be lo cizra	.i za'a fa le solri ca	Its quaint events were hammered out—
nau mo'u lisru'e	vu ca'o masno canci	And now the tale is done,
.i ma'a gleki zdakla ni'a	.i mi'o sakli klama fe	And home we steer, a merry crew,
lo cancysolxu'e	le zdani ca le vanci	Beneath the setting sun.
.i ju'i .alis. ko dei lebna	.i .e'o doi la .alis. do	Alice! A childish story take,
gi'e xanracpu'i	ba stodi morji ro roi	And with a gentle hand,
lo verba selsne jvibu stuzi	fi le ca lisri .i tai bo	Lay it where Childhood's dreams are twined
noi nunmojbafru'i	le litru fi le flora	In Memory's mystic band,
tai lo nu friti lo ruldjine	poi pu se crepu pu vu ku	Like pilgrim's wither'd wreath of flowers
poi vu zu selku'i	cu klina morji ro roi	Pluck'd in far-off land.
ni'o ni'o pa mo'o mo'i ni'a lo ractu kevna	ni'o ni'o pa mo'o mo'i ni'a le kevna pe le ractu	CHAPTER I. Down the Rabbit-Hole
ni'o la .alis. co'a tatpi lo nu zutse lo rirxe korbi re'o lo mensi gi'e zukte fi no da .i .abu cu so'u roi sutra zgana lo cukta poi my tcidu .i ku'i cy vasru no pixra ja nuncasnu .i «lu ji'a ma prali –sei la .alis. cu pensi– fi lo cukta poi vasru no pixra ja nuncasnu li'u»	ni'o la .alis. co'a tatpi lenu ri zutse re'o le mensi be .a bu goi la .alis. le korbi be le rirxe gi'e zukte fi no da .i mu'a .a bu cu so'u roi sutra catlu le cukta poi le mensi cu tcidu .i ku'i le cukta cu cukta no pixra .e no vreji be lonu casnu .i lu ja'o ma prali fi le cukta to'isa'a pensi cusku fa .abu toi fi le cukta poi cukta no pixra .e no vreji be lonu casnu li'u	Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversations?'
ni'o .abu ca'o menli jdice (to se kai lo xagrai selka'e poi se curmi lo glare donri noi rinka lo nu .abu lifri lo nu sipydji je bebna toi) lo du'u xu kau lo nu pluka fa lo nu zbasu lo xrula linsi cu se vamji lo raktu poi nu sa'irbi'o gi'e crepu lo xrula .i ca bo suksa fa lo nu lo blabi ractu poi xunblabi se kanla cu bajra zo'a .abu	ni'o la .alis. ca'o se menli jdice fu'e ta'o se rai leka kakne poi se curmi le glare donri noi rinka lonu la .alis. cu lifri leka djica lonu ri sipna kei gi'e bebna fu'o fi le jei lonu pluka fa lonu zbasu lo xrula linsi cu naku naku jalge lo raktu poi nu co'a sanli gi'e crepu lo xrula .icabo suksa fa lonu le pa blabi ractu ku noi se kanla lo xunblabi cu bajra ne'a la .alis.	So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
