jbovla	lojbo	glico
valsi fi le lojbo	jufra	English translation
liste lo'i xamgu jufra	xamgu jufra	Dictionary with Examples
la gleki e lo drata	la gleki e lo drata	Gleki and others
fanva fo le lojbo	fanva fo le lojbo	Translation from Lojban
a	.ei mi tavla la .alis. a la .kevin.	I need to speak to Alice or Kevin (or to both of them).
a'a	a'a ko ca'o skicu	I'm listening, go on talking!
a'a	a'a cu'i ko denpa le nu mi jai gau mulno fai ti	Eh, just a second, let me finish this.
a'a	do tavla da a'a nai	La, la, la, I'm not listening what you are talking about.
a'e	a'e ba vlile tcima	It's going to be a storm.
a'e	a'e nai mi ba klama le ckana	Yaaaawn, I'm going to bed.
a'i	a'i cu'i mi klama le zarci	I'm indecisive to whether I should go to a shop.
a'i	a'i mi ca'o ralte	I'm trying to hold it!
a'i	a'i cu'i la'e ti frili	Ah, this is easy.
a'i	a'i nai cikre tu	Nah, why bother fixing it.
a'o	a'o pluka be do nicte	Good night to you!
a'o	a'o vamji fa le nu zukte	I hope, it's worth doing it.
a'o	a'o nai mi co'u ponse da	Gah, I lost all my property.
a'oi	a'oi la kevin ma nuzba	Ahoy, Kevin! What's up?
a'u	a'u ro jbopre cu stati prenu	Interesting, all Lojbanists are smart people.
a'u	a'u ma krinu	Hm, what is the reason?
a'u	a'u cu'i do ne ka'ai pa nanla cu se zdani	It's none of my business that you live with a boy.
a'u	a'u nai do co'i speni le fange	You married a stranger, it's none of my business, I'd avoid this topic.
a'u	a'u nai iu nai panci fa le kalci i ai nai mi citka ti	Yuck, that smells like shit! I'm not going to eat this.
aftobuso	ma se stuzi le tcana pe le aftobuso pe li mu	Where is the stop of bus number 5?
aftobuso	le aftobuso pe li xo cu muvdu le muzga	What's the number of the bus that goes to the museum?
aftobuso	le aftobuso be lei litru cu clani	The tourists' bus is long.
ai	ai mi vitke do	I'm going to visit you.
ai	ai nai mi pu darxi do	I didn't mean to hit you.
aidji	mi aidji le ka klama la nipon	I am going to go to Japan.
