xrabo	lojbo	glico	glico glosa ||
النسخة العربية	ni'o ni'o ni'o bau le lojbo	English version	English version with glosses
اللوح الزمردي	ni'o la ri'ojme te ciska	Emerald Tablet	Emerald Tablet
لكاتب عربي مجهول	ni'o lo xrabo cu finti gi'a fanva	by an unknown Arabic writer	by an unknown Arabic writer
النص العربي الأصلي	ni'o la gleki cu fanva fi le lojbo	English translation by la gleki	English translation by la gleki
حقٌّ لا شكَّ فيه صَحيح،	lo jetnu noi na se senpi fi ke'a cu drani	A truth, which is without doubt, is certain.	حقٌّ|لا |شكَّ |فيه |صَحيح،||truth-NOM|NEG|doubt-ACC|in-it|correct || le jetnu|noi na|se senpi|fi ke'a|cu drani
إنّ الأعلى من الأسفل والأسفل من الأعلى،	.i je'u le galtu cu co'e ra'i le dizlo .i je le dizlo cu co'e ra'i le galtu	The higher is from the lower and the lower is from the higher,	إنّ|الأعلى |من |الأسفل |والأسفل |من |الأعلى،||indeed|DEF-highest|from|DEF-low|and-DEF-lowest|from|DEF-highest || .i je'u|le galtu|cu co'e ra'i|le dizlo|.i je le dizlo|cu co'e ra'i|le galtu
عمل العجائب من واحد كما كانت الأشياء كلّها من واحد بتدبير واحد،	.i co'i gasnu le za'u se manci ne ra'i pa da tai lo nu co'i zilfi'e fa le ro dacti fi ce'e ra'i pa da fe ce'e ta'i pa te platu	Working wonders from one, as all things were from one by one plan.	عمل|العجائب |من |واحد |كما |كانت |الأشياء |كلّها |من |واحد |بتدبير |واحد،||work-3SG.PERF|DEF-wonders|from|one|as-what|be-3SG.FEM.PERF|DEF-things|all-NOM-it|from|one|with-planning|one || .i co'i gasnu|le za'u se manci|ne ra'i|pa da|tai lo nu|co'i zilfi'e|fa le ro dacti|fi ce'e ra'i|pa da|fe ce'e ta'i|pa te platu
أبوه الشمس، أُمّه القمر،	.i patfu ra fa le solri .i mamta ra fa le lunra	Its father is the Sun, its mother is the Moon,	أبوه|الشمس، |أُمّه |القمر،||father-NOM-his|DEF-sun|mother-NOM-his|DEF-moon || .i patfu ra|fa le solri|.i mamta ra|fa le lunra
حملته الريح في بطنها، غذته الأرض،	.i co'i bevjai ra fa le brife fi le betfu be ri .i co'i jai gau citka fai ra fa le terdi	The wind carried it in its belly, the earth nourished it.	حملته|الريح |في |بطنها، |غذته |الأرض،||carry-3SG.FEM.PERF-it|DEF-wind|in|belly-her|nourish-3SG.FEM.PERF-it|DEF-earth || .i co'i bevjai ra|fa le brife|fi|le betfu be ri|.i co'i jai gau citka fai ra|fa le terdi
أبو الطِّلسمات، خازن العجائب، كامل القوى،	.i patfu le za'u badytci .i ra'irgau le se manci .i prane le se zukte	Father of the talismans, keeper of the wonders, perfect in the powers,	أبو|الطِّلسمات، |خازن |العجائب، |كامل |القوى،||father-NOM|DEF-talismans|keeper|DEF-wonders|complete|DEF-powers || .i patfu|le za'u badytci|.i ra'irgau|le se manci|.i prane|le se zukte
