balgaro	lojbo	glico
български	ni'o ni'o ni'o bau le lojbo	English version
Самодива	ni'o ni'o le ricfoi crida	Forest nymph
Елин Пелин	ni'o la .ielin.pelin. di'e finti	Elin Pelin
Оригинал на български	.i fanva fi le lojbo le balgaro fa la gleki	translated from Bulgarian by la gleki
Намерих я в дълбоките горски усои. Тя седеше тъжна и разплакана край зелений бряг на един бистър поток. Прозрачен и рохав като речна сутринна мъгла воал покриваше очарователното й тяло. Буйни, златоруси коси се разстилаха по снежнобелите й плещи, както млад овчар разстила вакло стадо от падина на падина. Мъничките й мраморни крачка се миеха от струите на бистрия поток. До нея лежеха захвърлени повехнали горски цветя и венец от жълта иглика.	.i penmi fa mi fi le noi condi ku'o fenra be lo ricfoi i ra ca'o zutse fau lo nu ra badri gi'e ba'o klaku vau ne'a le crino korbi be le klina rirxe be ve'i i le murta taxfu noi klina gi'e kluza tai lo nu cerni bumru ne'a lo rirxe cu gacri le pluka xadni be ra i lei kerfu ku noi viknu cu tcena le snime blabi janco be le birka be ra tai lo nu lo citno dalgidva cu jai gau muvdu fa lo dalgunma be lo co'a ruble lo salpo lo salpo i le mutce cmalu jamfu be ra ca'o se lumci le flecu be le klina rirxe be ve'i i ne'a ra zvati fa le noi se renro gi'e ba'o vifne ku'o za'u ricfoi xrula e le pa se jivbu be fi lo pelxu primula	My encounter happened in the deep forest ravines. She was sitting, sad and tearful, by the verdant bank of a clear stream. Transparent and mottled like river morning mist, a veil covered her enchanting figure. Luxuriant, golden hair cascaded down her snow-white shoulders, like a young shepherd spreading a feeble flock from slope to slope. Her tiny marble-like feet were being washed by the currents of the clear stream. Beside her lay discarded wilted forest flowers and a wreath of yellow primroses.
Като ме видя, тя трепна и срамежливо прибра краищата на чудния си воал, готова да избяга.	.i ra fau gi mi zgana gi co'i suksa muvdu gi'e ba bo toldarsi jai gau jmaji fai le'i korbi be le banli murta pe ra fau lo nu ra bredi lo ka ba bajra klama fi	Upon seeing me, she flinched and shyly gathered the edges of her marvelous veil, ready to flee.
— Постой, очарователно момиче — извиках аз, пленен и влюбен.	i fe lu e'o do stali doi pluka ninmu cu cladu cusku fa mi fau lo nu mi manci gi'e prami	«Wait, enchanting maiden,» I exclaimed, captivated and in love.
Тя ме погледна страхливо със сините си като синчец очи и мигом ги скри под черни гъсти ресници. Па наведе глава. Момински срам цъфна като великолепни рози на белите й страни. Две пъргави трапчинки, малки като прилистничето на „залисът“, затрепкаха смутено зад краищата на мъничките й алени уста. От бялата й гушка, върху голите й девствени гърди играеше светло отражение като от огледало.	i ra terpa zgana mi lo ka se kanla lo skari be lo ka bluueta i je ra zi mipri le kanla le nenri be le kalgaikre noi xekri gi'e viknu i ba bo ra jai gau dizlo fai le stedu i ra frati lo ka se molmla nu'i ge co'u ku lo blabi gi co'a ku lo xunre ne tai lo rozgu i le re zabna cinje noi cmalu lo ka simsa lo punli be lo dizlo be lo pezli be le'e spatirusku cu xanka slilu ti'a le korbi be le xunre je cmalu moklu be ra i le blabi cnebo be ra cu kelci minra lo carmi fo le cpana be le lunbe tatru be ra tai lo nu le nei cu vinmirtci	She looked at me fearfully with her cornflower-blue eyes and instantly hid them under thick, black lashes. Then she bowed her head. Maidenly shyness bloomed like magnificent roses on her pale cheeks. Two nimble dimples, tiny as a stipule of butcher's-broom, quivered nervously behind the corners of her small, crimson lips. From her white neck, a light reflection, as if from a mirror, played upon her bare, virgin chest.
Аз спрях пред нея като изумен. Тя не ме поглеждаше. По лицето й бе изписана безкрайна скръб, от гъстите й ресници закапаха една след друга, като зърна Маргарит, едри бистри сълзи и поточето ги отнисаше надолу. Гората беше хладна и мълчалива. Неподвижно стоеха вековните дървета и мислеха за нещо.	.i mi co'a sanli ca'u ra tai da'i lo nu mi manci i ra na zgana mi i mo'u ciska lu'e lo nu ze'e badri kei fi le flira be ra ije fi le viknu kalgaikre be ra cu porsi farlu le se klaku noi barda gi'e klina ku'o tai le nu le nei cu jemna i je le flecu cu bevri le go'i le cnita i le ricfoi cu lenku gi'e smaji i fa le noi renvi fi le nanca be li pa no no ku'o tricu cu na'e muvdu stali gi'e ca'o pensi su'o da i'u nai	I stood before her as if amazed. She wasn't looking at me. Endless sorrow was written on her face; one after another, large bright tears dripped from her thick lashes, like pearls, and a stream carried them away. The forest was cold and silent. The centuries-old trees stood motionless, contemplating something.
— Кажи ми, прекрасно момиче — извиках аз в изстъпление, — коя си ти?	i fe lu ko skicu fi mi doi pluka ninmu cu cladu cusku fa mi fau lo nu nu mi manci i ba bo go'i lu do klesi ma li'u	«Tell me, lovely maiden,» I cried out in awe, «who are you?»
