tcexo	rusko
## Jak se zakládají zahrádky ##	## Как устраивают садики ##
	
Zahrádky je možno zakládati několikerým způsobem; nejlepší je ten, že se na to vezme zahradník. Zahradník vám tam nasází všelijaké hůlky, proutí a košťátka, o kterých tvrdí, že jsou to javory, hlohy, bezy, vysokokmeny, polokmeny a jiné přírodní druhy; potom se ryje v hlíně, zobrací ji naruby a zase ji uplácá, udělá ze škvárů cestičky, nastrká tu a tam do země jakési zvadlé lupení, o němž prohlašuje, že to jsou pereny1, naseje na příští trávník semínko, jež nazývá anglickým jílkem a psinečkem, psárkou, poháňkou a bojínkem, a potom odejde, nechávaje za sebou zahrádku hnědou a holou, jako byla dne prvého o stvoření světa; jen vám klade na srdce, abyste tu všechnu hlínu země denně pečlivě kropili, a až vzejde tráva, abyste si nechali přivézt na cestičky písek. Nu dobře.	Садики можно устраивать разными способами; лучший из них тот, когда для этого берут садовника. Садовник насажает вам там всяких палок, прутьев и метелочек, про которые утверждает, что это клены, боярышники, бузина, высокоствольные, полуштамбовые и прочие природные виды; потом начнет копаться в земле, выворачивать ее наизнанку и снова утрамбовывать, сделает дорожки из шлака, понатыкает тут и там в почву какой-то увядшей листвы, заявляя, что это многолетники1, засеет будущую лужайку семенем, которое называет английским райграсом и полевицей, лисохвостом, мятликом и тимофеевкой, а потом уйдет, оставив после себя садик бурым и голым, каким он был в первый день сотворения мира; только настойчиво внушает вам ежедневно и тщательно поливать всю эту землю, а когда взойдет трава, велит привезти песку на дорожки. Ну что ж.
	
1 Trvalky. Pozn. red.	1 Многолетники. Прим. ред.
	
Člověk by si myslel, že kropení zahrádky je zcela jednoduchá věc, zvláště má-li na to hadici. Záhy se ukáže, že hadice je neobyčejně úskočný a nebezpečný tvor, pokud není zdomestikována; svíjí se, skáče, vymršťuje se, dělá pod sebe spoustu vody a s rozkoší se hrouží do bahna, jež si takto vytvořila; načež se vrhne na člověka, jenž hodlá kropit, a ovine se mu kolem nohou; je nutno na ni šlápnout, a tu se vzepne a otočí se člověku kolem pasu a krku; zatímco s ní postižený zápasí jako s krajtou, obrátí ta obluda mosaznou hubičku vzhůru a chrlí mocný proud vody do oken na čerstvě pověšené záclony. Je nutno chopit ji energicky za hlavu a natáhnout ji co nejvíce možno; bestie zuří bolestí a začne rozstřikovat vodu nikoliv z hubičky, nýbrž z hydrantu a kdesi uprostřed těla. Je třeba napoprvé tří lidí, aby ji jakžtakž zkrotili; všichni pak opouštějí místo zápasu pomazáni blátem až po uši a bohatě zkropeni vodou; pokud se zahrádky týče, změnila se místy v mazlavé kaluže, zatímco na jiných místech žíznivě rozpukává.	Человеку кажется, что поливать садик очень просто, особенно если для этого есть шланг. Но вскоре выясняется, что шланг - существо необыкновенно коварное и опасное, если его не приручить; он вьется, скачет, взмывает, разливает вокруг себя массу воды и с наслаждением зарывается в грязь, которую сам же и создал; затем бросается на человека, вздумавшего поливать, и обвивается у него вокруг ног; приходится на него наступить, а он тут же взовьется и обовьет человеку поясницу и шею; пока пострадавший борется с ним, словно с удавом, эта тварь задирает вверх свою медную морду и швыряет мощную струю воды в окна, прямо на только что повешенные занавески. Тут надо решительно схватить его за голову и натянуть как можно сильнее; зверь бесится от боли и начинает брызгать водой уже не из наконечника, а из крана и еще где-то посреди своего туловища. С первого раза нужны трое, чтобы хоть как-то его усмирить; все они покидают поле битвы измазанные грязью до ушей и щедро окропленные водой; что же до садика, то местами он превратился в вязкие лужи, тогда как в других местах жадно растрескивается от жажды.
Činíte-li toto denně, začne po čtrnácti dnech místo trávy vyrážet plevel. Je jedním z tajemství přírody, proč z nejlepšího travního semínka roste nejbujnější a nejježatější bejlí; snad by se mělo zasívat semínko plevele, aby z něho vypučel pěkný trávník. Po třech nedělích je trávník hustě zarostlý bodláčím a jinou neřestí plazivou nebo na loket zakořeněnou do země; chceš-li to vyrvat ze země, přetrhne se to hned u kořínku nebo to vezme s sebou celou hroudu hlíny. Je to tak: čím horší neřád, tím víc se má k světu.	Если делать это ежедневно, то через две недели вместо травы начнут лезть сорняки. Это одна из тайн природы: почему из лучшего газонного семени вырастает самая буйная и колючая дрянь; может быть, следовало бы сеять семена сорняков, чтобы из них вышел хороший газон. Через три недели лужайка густо зарастет чертополохом и прочей ползучей или на локоть в землю укоренившейся нечистью; хочешь выдернуть это из земли - оно тут же обрывается у самого корешка или вытаскивает с собой целый ком почвы. Так уж оно и есть: чем гаже дрянь, тем лучше она разрастается.
Zatím se tajemnou přeměnou hmot změnily škváry cestiček v nejlepkavější a nejmazlavější jíl, jaký je možno si představit.	Тем временем по какой-то таинственной метаморфозе шлак на дорожках превращается в самую липкую и самую вязкую глину, какую только можно себе вообразить.
Nicméně je nutno vykořenit plevel z trávníků; pleješ, pleješ, a za tvými kroky se budoucí trávník obrací v holou a hnědou hlínu, jaká byla dne prvého o stvoření světa. Jen na dvou nebo třech místečkách vyráží cosi jako zelenavá plíseň, cosi jen nadechnutého, řiďounkého a podobného chmýří; není pochyby, to je travička. Chodíš kolem ní po špičkách a odháníš vrabce; a zatímco brejlíš do země, na angreštech a rybízech vyrazily první lístečky, než jsi se nadál; nikdy se jara nedohlídáš.	И все же приходится выдирать сорняки с газонов; полоть да полоть, а за твоими шагами будущий газон снова превращается в голую бурую землю, какой она была в первый день сотворения мира. Только в двух или трех местечках пробивается нечто вроде зеленоватой плесени, что-то едва наметившееся, жиденькое и похожее на пушок; нет сомнения, это и есть травка. Ты ходишь вокруг нее на цыпочках и отгоняешь воробьев; а пока ты всматриваешься в землю, на крыжовнике и смородине уже успели распуститься первые листочки; весны никогда не дождешься.
	
