sampu lojbo	lojbo	glico
ni'o ni'o bau le sampu lojbo	ni'o ni'o bau le lojbo	English original
ni'o lisri le nu le bradi cu klama la tlunranan.	ni'o sei lisri be me'e lu le su'u le bradi mo'u klama la tlunranan. se'u	How the enemy came to Thlunrana
.i la danseini ku voi nobli cu finti	to'i la danseini ku voi nobli cu finti toi	Lord Dunsany, 51 Tales, 1915
.i la gleki cu fanva fi le sampu .a'o	to'i la gleki ku noi na nobli cu fanva toi	Original English text
.i lei dzena pu ze'u jijnu le du'u le bradi be la tlunranan. ba klama ri	pu ze'u se djuno lei ze'u renvi gi'e se jijnu ca le temci be le nu le dzena ca jmive vau fa le du'u le bradi be la tlunranan. ba klama ri	It had been prophesied of old and foreseen from the ancient days that its enemy would come upon Thlunrana.
.i djuno fi le detri .e le vorme voi le bradi ba klama fo lu'i ke'a .i djuno le du'u le bradi cu me le cevni gi'e ku'i xabju vi le remna .i na djuno su'o drata le bradi	.i le ji'a detri cu jai se djuno fa le ji'a pa vorme voi le bradi cu klama fo lu'i ke'a .i je no da djuno fi le bradi fe su'o drata be le du'u ri me le cevni gi'e ku'i kansa le remna le ka xabju	And the date of its doom was known and the gate by which it would enter, yet none had prophesied of the enemy who he was save that he was of the gods though he dwelt with men.
.i ca ku le'e prenu voi xabju vi lei cmana .e le sruri tumla cu terpa la tlunranan. noi zdani le se lijda gi'e ralju malsi be le nu makfa	.i ca ku la tlunranan. noi sivni zdani le se lijda zi'e noi ralju le'i malsi be le nu makfa cu se terpa le'e jbini be le'i cmana be'o noi le nei cu malsi fi ke'a vau .e lei sruri tumla	Meanwhile Thlunrana, that secret lamaserai, that chief cathedral of wizardry, was the terror of the valley in which it stood and of all lands round about it.
.i le canko cu jarki gi'e galtu gi'e cizra ca le nicte ca le nu lo gusni cu pagre le canko .i le canko cu simsa lo mipri palci poi catlu le remna bu'u le manku	.i tai ku jarki gi'e galtu vau fa le canko .i je bo tai cizra fa ri ca le nu ri se pagre lo gusni ca lo'e nicte .i ja'e bo le go'i cu simlu le ka du lo mipri palci poi catlu le remna bu'u le manku	So narrow and high were the windows and so strange when lighted at night that they seemed to regard men with the demoniac leer of something that had a secret in the dark.
.i no le xabju cu pendo le te makfa .a le vipsi te makfa .e le pa ralju te makfa .i le te makfa cu dasni lo xekri gacri be lo flira .e le stedu .e le xadni	.i fe le du'u ma kau sevzi le te makfa gi'a sevzi le vipsi be ri gi'a sevzi le pa banli ke ralju te makfa vau fa no le xabju cu djuno .i ki'u bo ro boi ma bu dasni lo xekri gacri be lo flira .e lo stedu .e lo xadni	Who were the magicians and the deputy-magicians and the great arch-wizard of that furtive place nobody knew, for they went veiled and hooded and cloaked completely in black.
		
.i le dimna be la tlunranan. pu'o fasnu .i je ca le lamji nicte le bradi cu .ei klama fo lu'i le snanu vorme noi ca kalri gi'e se cmene lu dimna vorme li'u .i ku'i la tlunranan. noi rokci dinju ca cizra smaji gi'e se terpa gi'e manku	.i to'e ki'u nai le nu le dimna be la tlunranan. pu'o fasnu vau e le nu le bradi pe le nu jijnu ne pu cu .ei klama ca le lamji nicte ne ba fo lu'i le kalri ke snanu vorme noi pu ze'u ca se cmene lu vorme co dimna li'u vau vau fu'e ku'i le rokci dinju goi la tlunranan. ca'o ku cizra smaji gi'e se sinma gi'e se terpa gi'e manku gi'e pe'a se ke nobli mapku le jai nu dimna be le nei fu'o	Though her doom was close upon her and the enemy of prophecy should come that very night through the open, southward door that was named the Gate of the Doom, yet that rocky edifice Thlunrana remained mysterious still, venerable, terrible, dark, and dreadfully crowned with her doom.
.i na cafne fa le nu lo prenu cu cadzu vi la tlunranan. ca lo nicte ca lo nu le te makfa cu cmoni gi'e cusku fi lo cevni la'a vau bu'u le nenri kumfa ri'a lo nu lo fulta bianfu co'a terpa .i ku'i ca ku ca le nicte le pa prenu cu klama fi le sampu dinju mu'i le ka viska la tlunranan. pu le nu le bradi cu klama gunta la tlunranan. ja'e le nu daspo ri	.i na cafne fa le nu lo prenu cu cadzu vi la tlunranan. ca lo nicte ca lo nu lo se cmoni be lei te makfa bei fau le nu lu'i ri cusku fi le na jai se djuno be ma'a cu ruble ra'i le nenri kumfa ri'a lo nu lo fulta bianfu co'a terpa .i ku'i ca le ro moi be le'i ro nicte le pa prenu fi le dinju voi se drudi loi sudga je xekri srasu vi le mu ckunu cu mo'u klama mu'i le ka viska la tlunranan. za'u re'u ku ce'e pu le nu le bradi noi me le cevni gi'e ku'i kansa le remna le ka xabju cu klama gunta la tlunranan. ja'e le nu ri mo'u marji	It was not often that anyone dared wander near to Thlunrana by night when the moan of the magicians invoking we know not Whom rose faintly from inner chambers, scaring the drifting bats: but on the last night of all the man from the black-thatched cottage by the five pine-trees came, because he would see Thlunrana once again before the enemy that was divine, but that dwelt with men, should come against it and it should be no more.
.i fa'a le galtu bu'u le jbini be le'i cmana le prenu cu klama tai le nu ri virnu. i ku'i le prenu cu mutce terpa gi'e jdika le ni virnu	.i fa'a le galtu bu'u le jbini be le'i cmana le go'i goi prenu bu klama tai le nu ri virnu. i ku'i le go'i cu mutce le ka terpa .i je le go'i ca'o jdika le ka xo kau va'e virnu vau li so'o	Up the dark valley he went like a bold man, but his fears were thick upon him; his bravery bore their weight but stooped a little beneath them.
.i le prenu cu mo'u klama fo lu'i le snanu vorme	.i prenu bu mo'u klama fo lu'i le snanu vorme noi pu ze'u ca se cmene lu vorme co dimna li'u	He went in at the southward gate that is named the Gate of the Doom.
.i le prenu mo'u klama le manku ke clani kumfa gi'e klama le galtu fo lu'i le marmaro serti vau mu'i le ka viska le ro moi pe la tlunranan.	.i prenu bu mo'u klama nu'i pu gi le manku ke clani kumfa gi le galtu fo lu'i le marmaro serti nu'u mu'i le ka viska le ro moi voi co'e la tlunranan.	He came into a dark hall, and up a marble stairway passed to see the last of Thlunrana.
.i bu'u le galtu pa xekri silka murta cu dandu .i le prenu cu klama le kumfa .i bu'u ri ge so'i murta cu dandu gi traji le ka xekri	.i bu'u le galtu pa xekri silka murta cu dandu .i je prenu bu mo'u pagre fi le kumfa voi bu'u ke'a so'i murta cu dandu zi'e voi ke'a manku ja'e le nu ke'a zmadu fi le ka xo kau va'e le ka xekri vau vau fe ro skari be ri bei ma'a	At the top a curtain of black velvet hung and he passed into a chamber heavily hung with curtains, with a gloom in it that was blacker than anything they could account for.
.i bu'u le drata ke manku kumfa voi bancu le kunti se bargu vau lei te makfa cu jgari le fagri be lei lakse gi'e zukte le makfa gi'e to'e cladu bacru le jai makfa	.i bu'u le manku kumfa voi bancu fo le ka se viska vau fe le kunti se bargu vau lei te makfa ne le ve'i jelca voi fagri lei lakse cu zukte le makfa be fi le nei gi'e to'e cladu bacru cusku le valsi be le fasnu ba'a	In a sombre chamber beyond, seen through a vacant archway, magicians with lighted tapers plied their wizardry and whispered incantations.
