English	Lojban
One way or round trip?' 'Um... let me think. Round trip.'	lu klama fi vo'e je'i na'e bo vo'e li'u lu y vo'e li'u
Have fun being misunderstood then.	ja'o i'a nai ko lifri lo ka na jimpe fi ce'u
Aha, go on, what happened next?	.a'a sei ko di'a co'e ma ba la'e do'i fasnu
Eh, just a second, let me finish this.	.a'a cu'i ko denpa lo nu gau mi mo'u zukte
La, la, la, I'm not listening.	mi jundi a'a nai
There's going to be a tsunami!	.a'e pu'o tsunami
There's going to be a tsunami!	.a'e ba vilxasybo'a
It's going to be violent weather!	.a'e ba vlile tcima
Today is going to be a good day!	ba'a le cabdei zu zabna
I'm going to bed.	mi pu'o sipna
Yaaaawn... I'm going to bed.	a'e nai mi klama lo ckana
I have to go to sleep.	mi bai ei sipna
Quit complaining.	ko sisti lo ka pante
I'm tired. I've got to go now.	.i mi ca tatpi .i .ei mi ca cliva
Ah, this is easy.	a'i cu'i
It'll be hard for me to wake you up.	mi gasnu a'i da'i lo nu do cikna
I'll make an effort to get up early every morning.	.a'i mi ca ro cerni co'a cikna
I'm trying to hold it!	.a'i mi troci lo ka ru'i jgari ti
Nah, why bother fixing it.	.a'i nai cikre ta
I did it, through much hard work, though it took but little thought.	uo ru'e a'i sai ro'o bu'o nai a'i ru'e sai ro'e bu'o nai 
Hopefully everything turns out all right.	.a'o .a'ucu'i ro da ba se jalge lo zabna
I hope someone sees this.	.a'o da ba zgana ti
I hope that you will get well soon.	.a'o do bazi co'a kanro
Hopefully he will be healthy soon.	.a'o ra bazi kanro
I hope he'll get better soon.	.a'o ra bazi zenba lo ka kanro
I hope Tom is in a good mood.	.a'o la .tam. cu gleki
I hope to live in a mansion someday.	.a'o mi xabju lo barda zdani de'i da
I hope to see you again.	.a'o mi ca da za'u re'u penmi do
I'm hopeless!	mi .a'o nai
Everything will be lost now.	i ba zi ku no da ca'o zvati a'o nai
Let this be an example to you.	.a'o ti mupli se va'u do
Oh no!	.a'onai
It's hopeless.	.a'onaicai
There's no hope.	.a'onaicai
That's none of my business.	la'e do'i a'u cu'i
What happened to you?	ma ba'o se lifri do
Why are you meowing?	mu'i ma .a'u do latcmo
Yuck, that smells like shit!	.a'u nai ta simsa lo kalci lo ka se panci
How fascinating!	.a'ucai
I am deeply interested in art.	.a'ucai lardai
A is enough, but B is not enough.	.abu raunzu. i je ku'i by. na go'i
I'll definitely do that.	ju'o .ai mi ba zukte
I don't know whether I'll purchase these or not.	.ai cu'i mi tu'a ti ba te vecnu
I have something to talk over with you.	.ai mi do da tavla
I'll gouge out your eyes!	.ai le'o mi vimcu le kanla be do
I am going to explain it completely on the wiki.	.ai mi ba cusku le jufra be le mulno se ciksi fo lo ka ciska fi le uitki
I'm going to scream.	.ai mi ba co'a cmoni
I am going to explain it completely on the wiki.	.ai mi ba cusku le jufra be le mulno se ciksi fo lo ka ciska fi le uitki
I'll take your suitcase to your room.	.ai mi bevri le do dakli le do kumfa
I'm going to scream.	.ai mi cmoni
I'll call first.	mi tavla au pa mai xebe'i lo se fonxa
I've been meaning to read this book.	mi pu zukte fi lo nu mi tcidu fi ti voi cukta
I don't mean to add words of my own devising.	.ai nai mi jmina lo valsi poi mi finti
See you at five.	.ai penmi do ti'u li cy mu
I'll do that without fail.	.ai .e'e mi zukte
Do you come?	.ai pei do klama
I'd love to go there one day.	.i .au mi ba klama ru .iu ca da
I would like to go to America.	.au mi klama la .amerik.
My dream is to go to Japan someday.	.au mi klama la pongu'e ca da
I want to run.	.au mi bajra
I want to study German.	.au mi tadni le dotybau
I want to be cautious.	.au mi jundi
I want to learn.	.au mi cilre
I want to kiss you.	.au mi cinba do
I want to write a book.	.au mi finti lo se cukta
I want to eat.	.au mi citka
