lojbo	glico
ni'o ni'o bau le lojbo	English translation
.i la'e lu le nixli be la .ipaneman. lu'u	The Girl from Ipanema
.i finti fa la.viNIsi,us.djimoRA,is.	Vinicius de Moraes
.i la gleki cu fanva	Translated by la gleki
.i ko catlu le dacti noi traji melbi	Look, what a beautiful thing
gi'e mulno le ka nobli	So filled with grace.
.i du ra poi du le nixli	It's her, the girl
noi klama gi'e bancu muvdu	who comes and who passes by.
ca le nu ke'a pluka slilu	In her sweet swing
vau fe le xamsi	on the way to the sea
.i doi le nixli noi se xadni le sloska	Girl with body of gold
noi se krasi le solri be la .ipaneman.	From the sun of Ipanema
i le nu ra slilu	Her swing
cu zmadu lo'e se pemci	is more than a poem
gi'e du le fasnu co traji melbi	She is the most beautiful thing
poi mi pu'i viska le nu ke'a bancu muvdu	that I've ever seen pass by
.i .oi ki'u ma mi tai kansa no da	Ah, why am I so lonely?
.i .oi ki'u ma ro da tai se badri	Ah, why is everything so sad?
.i .oi doi le melbi noi zasti	Ah, the beauty that exists
joi le melbi noi na co'e mi po'o	The beauty that is not solely mine
gi'e ji'a bancu co kansa be no da	That also passes by alone
.i .au da'i ra djuno	Ah, if she knew
le du'u ca le nu ra bancu vau	That when she passes by
le munje noi ca'o cisma	The whole smiling world
cu culno le ka nobli vau mo'u	gets filled with grace.
gi'e co'a traji melbi	And becomes more beautiful
vau ri'a le nu prami	Because of love.
