lojbo	glico
ni'o ni'o ni'o bau le lojbo	English version
ni'o le firgai	The Mask
ni'o la'e di'e tordu nu ciksi la'e noi lisri vau le firgai lu'u noi la .stanislav.lem. finti	Summary of the Stanisław Lem's novel
.i la gleki cu fanva fi le lojbo	English adaptation
.i ca le krasi cu manku gi'e lenku fagri gi'e ze'u cladu savru	In the beginning there was darkness and cold flame and lingering thunder.
.i mi kargau le kanla be mi gi'e ze'i cisma gi'e klama le crane .i je le taxfu pe le ninmu cu kansa mi le ka muvdu .i dansycu'u bu'u le zdani be le noltrunau	- I opened my eyes and smiled, and moved forward, and her dresses moved with me.  - This was the court ball.
.i vi le jamfu be le ve'a marmaro pixra cu sanli fa le pa nanmu poi mleca le ro drata le ka clani .i ne'a ra mi de'a klama tai lo da'i nu mi djica le nu mi krorinsa ra i ra na zukte le ka catlu mi i ra du le noltrunau	- At the foot of a marble statue stood a man shorter than the rest.  - Passing him I stopped as if I wished to curtsy low to him.  - He did not deign to look upon me.  - He was the King.
i ku'i ma jai se djica ra fai tu'a mi fa ma ke'u	But what could he want of me, what?
.i mi du ma	And who was I?
i crane fa le klaji noi da'i mi klama fo ke'a tai lo fu'e da'i nu mi noltruni'u da vau fo ke'a noi pluta fo lu'i le ro prenu fu'o .i ku'i ma stuzi gi'e se klama mi tai ku	- There opened up a corridor, that I might walk like some Queen down the path parted through humanity.  - But to where was I walking thus?
i ma prenu gi'e se klama mi	To whom.
i le fange prenu cu catlu mi i ra dunli mi le ka se pendo no da	This stranger looked at me – just as utterly alone as I.
i ra co'a sanli gi'e klama fa'a mi i re roi stapa gi'e de'a muvdu i mi zukte fi lo nu ju'a fe le xancidni fa le clupa pe le falnu pe mi cu kluza ja'e lo nu ri farlu	- He rose and came towards me.  - Two steps and he stopped.  - I let slip from my wrist the little loop of my fan.  - For it to fall.
i lu doi nolni'u to'i sa'a ra cusku toi y le falnu pe do li'u	‘Madam’, he said, ‘Your fan…’
i lu doi nolnau do'u ei pei zu'e mi za'u re'u farlu li'u i mi cisma	- ‘Sir’, I said, ‘must I drop it again?’  - And I smiled.
i ra pu fliba le ka facki fi lo se spusku	He was at a loss for what to say.
i ze'u nicte fau lo nu savru i ri'a tu'a lei prenu mi'a simxu le ka ta'e co'a sepli gi'e ku'i di'a kansa	The night was long and clamorous, the huge crowd constantly separated us, yet we kept finding each other.
i ca le midju be le nicte mi'a klama vi le noltrunau i je ri na zukte le ka klama fa'a mi'a i le noltrunau na zukte fi lo nu ri birti vau tai lo da'i nu ri lacri mi le ro co'e	- When in the late hours we passed by His Majesty, the ruler did not even bother to look in our direction.  - He did not make sure, as though he knew that he could trust me completely.
i baziku mi'a co'a simxu le ka sepli	Not long afterwards we parted.
i mi klama le bartu fau lo nu mi djuno no da le zdani be mi a le ckaji be le ka mi klama fi ce'u a le jai se kanpe be fai le ka mi catlu ce'u i je mi djuno le du'u na vajni	I went out, not having the least idea of where I lived, whence I had arrived, whither I would turn my eyes, I only knew that these things did not rest with me.
i su'o da pu cpedu fi le carce seva'u mi i le nenri cu kunti i le manku pe le nenri se gusni no na'i da i sa'e kunti	- Someone called my carriage.  - The body of the carriage was empty.  - The darkness of the interior was no absence of light, it was a void.
i mi zukte le ka di'a morji fi mi i mi lifri le ka pu co'a cikna vi le vorme be fi le ve'u kumfa i ku'i mi ka'e morji fi le ba'e purci be le nu me ka bu	- I turned to myself.  - I recollected waking at the door of the palace hall, and still I could reach back.
i ie purci i bu'u ma mi voi nolprenu to nolprenu xu toi pu la'e di'u i ma krasi mi	- Before that – yes, exactly.  - Where was I – was it!? – before that?  - Where did I come from?
i so'i danfu cu denpa pe'a i au da'i pa da go'i	A chorus of answers, ready, waiting; if only there had been a single chain of them!
i la .du,enas. zo'u clani dinju gi'e cripu gi'e krixa ca le nicte gi'e ciblu	The Duenna: a tower, a drawbridge, shouts in the night, blood.
i ku'i la .angelitas. zo'u blabi bitmu gi'e sudga palma gi'e cilce gerku	But as Angelita: white walls, withered palms, wild dogs.
i ku'i le cimoi be le le'i nu mi renvi kei zo'u purdi fi le jai te jensi i je valsi le ckaji be le ka nau na ku jai se jimpe be mi gi'e ju'o pu ja'a ku jai se jimpe	- But then my third existence: trimmed gardens, gardeners with clippers.  - And these words; I did not know now what they meant, but surely I knew once.
