lojbo	glico
ni'o ni'o ni'o bau le lojbo	English version
ka jai gau morsi fai lo verba	To Kill a Child
sei fìnti be fa la .stig.dagerman. bei de'i li pa so vo bi	Stig Dagerman
sei fanva be fa la danmo rozgu bei de'i li re no pa mu se'u sei cnegau be fa la gleki se'u	translated by la gleki
ni'o ca donri fi lo se gusni .i je le solri ca salpo cnita le pinta tumla	It is a light day, and the sun is slanting across the plain.
.i le za'u junla janbe ba zi se sance .i se ki'u ku zeldei	Soon the bells will ring, for it is Sunday.
.i bu'u lo jbini be le re mraji foldi le re citno cu facki tu'a pa jarki pluta noi le no'a pu no roi klama fo ke'a .i je bu'u le ci ve'i tcadu pe le pinta tumla le za'u canko cu gusminra	Between a couple of rye fields, two young people have found a path that they have never walked before, and in the three villages of the plain the window panes shine.
.i za'u nanmu cu xejykrevi'u ca'u lo minra be ga'u re'o lo jubme .i je za'u ninmu ze'a lo nu sanga cu katna lo nanba pe lo ckafi .i je za'u verba cu zutse lo loldi gi'e jai ganlo fai lo creka fi lo batke	Men are shaving in front of the mirrors on the kitchen tables, and women are grumblingly cutting up bread for coffee, and children are sitting on the floor buttoning their shirts.
.i ca saxfri cerni le palci se detri .i se ki'u ku ca le ca donri le pa verba ba gau co'a morsi be bu'u le ve'i tcadu poi ci moi ku'o fe le pa saxfri nanmu	It is the happy morning of an evil day, for on this day a child will be killed in the third village by a happy man.
.i ca'o je to'e ki'u nai ku le verba cu zutse le loldi gi'e jai gau ganlo fai le creka fi le batke .i je le nanmu poi xejykrevi'u cu cusku le se du'u ca le cabdei cu litru fi tu'a lo cpuga'a re'o le ve'a rirxe .i je le ninmu cu sanga gi'e punji le cnino se katna nanba le blanu palta	The child is still sitting on the floor, buttoning his shirt, and the man who is shaving says that today they will go rowing down the river, and the woman grumbles and puts the freshly cut bread on a blue plate.
ni'o no ctino cu pagre le ctistu .i je ca'o je to'e ki'u nai ku le nanmu poi ba jai gau morsi fai le verba cu sanli ne'a le xunre ke ctile pambe be bu'u le ve'i tcadu poi pa moi	There is no shadow over the kitchen, and yet the man who is to kill the child is standing at a red gas pump in the first village.
.i le nanmu cu saxfri gi'e catlu le ragve be le blaci pe le pa kacma gi'e viska le cmalu ke blanu karce noi se lamji le citno ninmu poi cmila	It is a happy man looking into a camera, and in the glass he sees a small blue car and next to the car a young woman laughing.
.i ze'a le nu le ninmu cu cmila .e le nu pixra fi le nanmu fa le melbi kei le te vecnu be tu'a loi ctile cu carna jai gau tagji fai le gacri be le ctilyvau gi'e cusku le se du'u pu'o lifri lo pluka se detri	While the woman laughs and the man takes the beautiful picture, the gasoline salesman screws the cap on the tank and tells them it's a nice day.
.i le ninmu co'a zutse le nenri be le karce .i je le nanmu noi pu'o jai gau morsi fai le pa verba cu cpacu le dakli be lo jdini le daski gi'e cusku le se du'u le re mei cu klama le xamsi gi'e bu'u jbera le bloti gi'e litru fi tu'a lo cpuga'a fa'a lo darno je je'a darno	The woman gets into the car, and the man who is about to kill a child takes his wallet out of his pocket and says that they are going to the sea, and at the sea they will borrow a boat and row far, far away.
.i le ninmu pe le crane stizu cu tirna lu'e le se cusku be le nanmu be'o noi ca'a kalri fi ke'a fa le canko .i le kanla be le ninmu bei gau ri co'a ganlo .i je ze'a le nu ganlo kei le ninmu cu senva viska le xamsi .e le nu le nanmu cu lamji le nei bu'u le bloti	The woman in the front seat hears what he says through the lowered windows, she closes her eyes, and when she closes her eyes she sees the sea and the man beside her in the boat.
.i le nanmu na palci .i ri gleki gi'e saxfri .i je pu le nu zvati le nenri be le karce kei ze'i sanli ca'u le gredile lekmi'i noi gusminra lo solgu'i ku'o gi'e zanfri le nu minra .e le li'i le mixre cu panci lo ctile joi lo tceremuxa	It is not a bad man, he is happy and joyful, and before he gets into the car, he stands for a moment in front of the radiator that sparkles in the sun, enjoying the glow and the smell of gasoline and beech.
.i no ctino cu gacri le karce .i je no da punli le gusminra jaldiga .i je na ku ri xunre ri'a tu'a lo ciblu	There is no shadow over the car, and the shiny bumper is not dented, nor is it red with blood.
ni'o ku'i le nanmu poi nenri le karce poi zvati le ve'i tcadu poi pa moi cu jai gau ganlo fai le zu'a gacri vorme gi'e lacpu le cfari tekla .i je ze'e le nu go'i kei le ninmu poi nenri le ctistu poi se stuzi le ve'i tcadu poi cimoi cu jai gau kalri fai le kajnyta'e gi'e facki le du'u ralte no sakta	But as the man in the car in the first village slams the door to his left and pulls out the starter button, the woman in the kitchen in the third village opens her cupboard and finds no sugar.
.i le verba noi jai gau mo'u ganlo fai le creka fi le batke gi'e mo'u ganlo fai le cutci fi le skori cu sanli fi le cidni fe le sfofa gi'e viska lo ve'a rirxe noi korcu gi'e jbini le za'u .alna ku'o .e le xekri cpuga'ablo noi mo'u se carna be le jai se clani bu'u lei srasu	The child, who has buttoned his shirt and tied his shoes, kneels on the sofa and sees the river winding through the alders and the black rowboat lying upturned in the grass.
.i le nanmu poi pu'o co'u se panzi cu mo'u xejykrevi'u gi'e ca gasnu le polje be le minra	The man who is about to lose his child has finished shaving and is folding the mirror.
.i le jubme cu zbepi le za'u ckafi kabri .e lei nanba .e lei grasu be le ladru .e le za'u sfani	On the table are the coffee cups, the bread, the cream and the flies.
.i ku'i claxu tu'a loi sakta e no drata .i je le mamta cu cusku minde le verba lo ka bajra klama le me la .lacon. moi gi'e cpedu lo ka jbera so'o bliku be loi sakta	Only the sugar is missing, and the mother tells her child to run to Larsson's and borrow some.
.i je ze'a le nu le verba cu jai gau kalri fai le vorme kei le nanmu cu cpedu lo ka sutra mu'i le nu le bloti cu denpa fi lo ka zvati lo korbi be le rirxe kei kei .e le nu ca le cabdei cu litru fi tu'a lo cpuga'a fa'a le zmadu be le pu traji be le ka ma kau ni darno	And as the child opens the door, the man calls to him to hurry up, for the boat is waiting on the beach, and they are to row as far as they have never rowed before.
.i ze'a le nu le verba cu bajra pa'o le purdi kei le nei ru'i pensi le ve'a rirxe .e le finpe noi pencu le sefta be lei djacu .i je no da smasku fi le verba fe le se du'u ri jmive co'u le mentu be li bi vau do'a nai .a le se du'u ze'a le cabdei .e so'i drata djedi le bloti cu stali lo ka zvati le ca se zvati	Then, as the child runs through the garden, he thinks all the time of the river and of the beating fish, and no one whispers to him that he has only eight minutes to live, and that the boat will stay where it is, all that day and many other days.
ni'o na darno le me la .lacon. moi .i ragve le pa dargu ku po'o .i je ze'a le nu le verba cu bajra le dargu kei le ve'i karce poi blanu cu sutra muvdu fa'a le ve'i tcadu poi re moi	It is not far to Larsson's, it is just across the road, and as the child runs across the road, the little blue car drives into the other village.
