lojbo	glico
ni'o ni'o bau le lojbo	English translation
ni'o le'i jufra ku noi vrici	Various texts
ni'o finti fa so'i da	Various authors
ni'o fanva fa za'u de	Various translators
ni'o la xekri je blanu nicte	The black-n-blue night
.i lojbo krasi	Translated to English by la gleki
i le nicte ca xekri je blanu	The night is black-n-blue.
i le dirba pu klama le darno	The darling went far away.
i da ve'e trixe le tsani	There is something that covers the entire space behind the sky.
i da ze'e sevzi le se prami	There is something that covers the whole of time of the soul of my beloved.
i le kanla be ra cu pu carmi	Her eyes were intense.
i doi dilnu do e'osai carvi	Oh cloud, please let it rain.
ni'o la xunre lunra	The Red Moon
ni'o la'o .vric.Joanna Kurki.vric. di'e finti	Joanna Kurki
.i lojbo krasi	Translated to English by la gleki
.i a'enai mi na ca sipna	Tired ... I'm not sleeping.
.i le xunre lunra cu gapru le tsani	The red moon is above the sky.
.i uunai ly fengu catlu mi	No pity, the moon is angrily looking at me.
.i tu ciblu xunre lunra	That is a bloody red moon.
.i oi a'onai fi mi ganlo lo murta	Ouch, I'm in despair, the sky is closed to me with a curtain.
