word	definition
bacru	x₁ (Entity) utters verbally / says / phonates / speaks sound or text x₂ (Sound or Text)
badna	x₁ (Entity) is a banana or plantain fruit or plant of species x₂ (Taxon)
badri	x₁ (Entity) is sad / depressed / dejected about x₂ (Abstraction: (nu, Event) or (du'u, Proposition))
bajra	x₁ (Entity) runs on surface x₂ (Entity) using limbs x₃ (Entity) with gait x₄ (ka, Property of x₁)
bakfu	x₁ (Entity) is a bundle / package / cluster / clump / pack containing x₂ (Entity) held together by x₃ (Entity)
bakni	x₁ (Organism) is a cow / bovine / cattle / ox of species x₂ (Taxon)
bakri	x₁ (Entity) is a quantity of chalk from source x₂ (Entity) in form x₃ (Entity)
baktu	x₁ (Entity) is a deep, solid, wide-topped container / bucket / pail for contents x₂ (Entity) made of material x₃ (Entity)
balji	x₁ (Entity) is a bulb body-part of plant or species x₂ (Taxon)
balni	x₁ (Entity) is a balcony / overhang / ledge / shelf of building or structure x₂ (Entity)
balre	x₁ (Entity) is a blade of tool or weapon x₂ (Entity)
balvi	x₁ (nu, Event) is in the future of event x₂ (nu, Event); x₁ (nu, Event) is later than x₂ (nu, Event) in time
bancu	x₁ (Entity) exceeds / is beyond limit or boundary x₂ (Entity) from reference x₃ (Entity) in property x₄ (ka, Property of x₁)
bandu	x₁ (nu, Event) defends or protects x₂ (Entity or nu, Event) from threat or peril x₃ (nu, Event)
banfi	x₁ (Organism) is an amphibian of species x₂ (Taxon)
bangu	x₁ (Language) is a language or dialect used by x₂ (Entity) to express x₃ (Idea or du'u, Proposition)
banli	x₁ (Entity) is great or grand in property x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
banro	x₁ (Entity) grows or expands to size or form x₂ (Entity) from origin x₃ (Entity)
banxa	x₁ (Entity) is a bank owned by or in banking system x₂ (Entity) for banking function(s) x₃ (nu, Event)
banzu	x₁ (Object) suffices / is enough / is sufficient for purpose x₂ (nu, Event) under conditions x₃ (nu, Event)
bapli	x₁ (Event) forces or compels event x₂ (nu, Event) to occur
barda	x₁ (Entity) is big or large in property or dimension(s) x₂ (ka, Property of x₁) compared with standard x₃ (si'o, Standard)
bargu	x₁ (Entity) arches or curves over or around x₂ (Entity) and is made of material x₃ (Entity)
barja	x₁ (Location) is a tavern / bar / pub serving x₂ (Entity) to patrons x₃ (Group<Entity>)
barna	x₁ (Entity) is a mark / spot / patch on x₂ (Entity) made of material x₃ (Entity)
bartu	x₁ (Entity) is on the outside of x₂ (Entity)
basna	x₁ (Entity) emphasizes / accentuates x₂ (Entity, Text or Sound) by action x₃ (nu, Event)
basti	x₁ (Entity) replaces / substitutes for x₂ (Entity) in circumstance x₃ (nu, Event)
